"","Symbol","Chr","Length","Description","Type","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Ppp2r1b","Ppp2r1b","chr9",5420,"protein phosphatase 2, regulatory subunit A, beta","protein-coding",0.485682418234556,6.3019395721802,2.16504332080142,0.0600652020423674,0.112985753591381,-5.41207058899226
"Gm20204","Gm20204","chr8",2075,"predicted gene, 20204","ncRNA",0.509085091292067,3.06379636617376,1.73645475072128,0.11817653157582,0.193680591931716,-5.41211341740218
"Med27","Med27","chr2",1232,"mediator complex subunit 27","protein-coding",-0.353722824394442,4.57685084542757,-2.04997336557091,0.0721714928538722,0.130545920384911,-5.41248111771021
"Commd7","Commd7","chr2",3288,"COMM domain containing 7","protein-coding",-0.423729085332011,5.52290793434795,-2.1493737808179,0.0615893067068377,0.115275334438421,-5.41385428165243
"Ercc4","Ercc4","chr16",6703,"excision repair cross-complementing rodent repair deficiency, complementation group 4","protein-coding",0.365391885958618,5.08975084225357,2.06253640578822,0.0707426044734948,0.128545995845468,-5.41395760262086
"Ganab","Ganab","chr19",3844,"alpha glucosidase 2 alpha neutral subunit","protein-coding",0.490971067049171,8.00620963662764,2.19768789189335,0.0570074910454344,0.1085020110396,-5.41498825242999
"Zfp112","Zfp112","chr7",3507,"zinc finger protein 112","protein-coding",-0.705347975964521,0.97557635997854,-1.52708988472243,0.162755288413097,0.249135543375238,-5.41544133691928
"Dhrs7","Dhrs7","chr12",1304,"dehydrogenase/reductase (SDR family) member 7","protein-coding",-2.93373734727213,2.45292458669576,-1.87583179898954,0.0961123095430595,0.16418866991541,-5.41599644011563
"R3hdm2","R3hdm2","chr10",4530,"R3H domain containing 2","protein-coding",-0.360253078862499,6.45374898079894,-2.18768676464174,0.0579277029039388,0.109727412265952,-5.41607756264691
"Dnajc27","Dnajc27","chr12",4713,"DnaJ heat shock protein family (Hsp40) member C27","protein-coding",0.979157059546934,5.59881641549872,2.0748632481994,0.0696972430123208,0.127141989040689,-5.41624117609909
"Coq4","Coq4","chr2",1987,"coenzyme Q4","protein-coding",0.913944615098271,4.18807940639195,1.86693129449537,0.0964046215548252,0.164540127245997,-5.41794494928726
"Nxpe3","Nxpe3","chr16",6436,"neurexophilin and PC-esterase domain family, member 3","protein-coding",-0.548362433794775,5.47258579372686,-2.14781473929867,0.0617429961076135,0.115503635957367,-5.41819986370023
"Gm5141","Gm5141","chr13",3279,"predicted gene 5141","protein-coding",-0.614731200585069,2.6566742067755,-1.76075264744231,0.113803077170175,0.188017034019787,-5.41829160556843
"Fbxo24","Fbxo24","chr5",2159,"F-box protein 24","protein-coding",-1.04933169585988,1.18914220788366,-1.57856321905468,0.150572737570128,0.234564850261891,-5.41842044706106
"Zfp664","Zfp664","chr5",4078,"zinc finger protein 664","protein-coding",0.784023927185355,6.17767835550003,2.13963508636695,0.0625695065540873,0.116722171373871,-5.41957191765431
"Prrc1","Prrc1","chr18",4801,"proline-rich coiled-coil 1","protein-coding",-0.682843799981833,5.59706489911104,-2.15802700977926,0.0607430385288489,0.113943760259235,-5.41964997615345
"D730003I15Rik","D730003I15Rik","chr1",568,"RIKEN cDNA D730003I15 gene","ncRNA",-0.750646682040214,0.483742413896323,-1.45846749919545,0.180357330121882,0.270206256019719,-5.42044851159055
"Nt5dc1","Nt5dc1","chr10",2716,"5'-nucleotidase domain containing 1","protein-coding",-0.651584852498846,4.62956355160211,-2.06897967602083,0.0700204097435494,0.127610993414548,-5.42145805347018
"Cnot3","Cnot3","chr7",2905,"CCR4-NOT transcription complex, subunit 3","protein-coding",0.374440488708123,6.82554485684772,2.18199719987719,0.0584576800279208,0.110592737044567,-5.42178556461205
"Mrgbp","Mrgbp","chr2",1192,"MRG/MORF4L binding protein","protein-coding",0.392437289836233,5.24488135510453,2.07464003656796,0.0693918565541234,0.126704563466347,-5.42209986765024
"4930503L19Rik","4930503L19Rik","chr18",2291,"RIKEN cDNA 4930503L19 gene","protein-coding",-1.80605499724913,4.05519254584934,-2.05142491331309,0.0729978195449395,0.131740992801272,-5.42219494728032
"Ece2","Ece2","chr16",4113,"endothelin converting enzyme 2","protein-coding",0.499087571205135,4.72214882758127,1.99177567357196,0.0791616463577023,0.140742224904996,-5.42325875917811
"Psmd9","Psmd9","chr5",2592,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 9","protein-coding",0.471417715511605,5.58769583483172,2.10531994245295,0.0660789819096534,0.122023206009345,-5.42371924165355
"Ak4","Ak4","chr4",5162,"adenylate kinase 4","protein-coding",8.09726716710504,1.82812574861997,1.1065667816115,0.299449953099069,0.401952031753451,-5.42451225152045
"Gm15535","Gm15535","chr3",1521,"predicted gene 15535","ncRNA",1.13457687273542,-2.17722777988164,1.08823823614223,0.306138675235179,0.409349663018784,-5.42622048320789
"Ripk2","Ripk2","chr4",1901,"receptor (TNFRSF)-interacting serine-threonine kinase 2","protein-coding",0.94466414994474,4.73241541085199,1.94575350124405,0.0851565356893317,0.14908733899462,-5.42709312282439
"Ulk4","Ulk4","chr9",4078,"unc-51-like kinase 4","protein-coding",1.7197473660039,0.885015019148856,1.35018458553916,0.211753502819215,0.305921477894926,-5.42717935957683
"Fzd4","Fzd4","chr7",3685,"frizzled class receptor 4","protein-coding",-2.1635179175809,-1.95100296213147,-1.26051290372743,0.241336599075263,0.339659847621176,-5.42727121795239
"Ndufv2","Ndufv2","chr17",1472,"NADH:ubiquinone oxidoreductase core subunit V2","protein-coding",-0.48004274451036,7.06098024913472,-2.18760420480475,0.0579353595271524,0.109727412265952,-5.42741010255263
"Ints8","Ints8","chr4",4970,"integrator complex subunit 8","protein-coding",0.484129487001717,6.17495069591063,2.14773726084164,0.0617506436383768,0.115503635957367,-5.428109712807
"Dgkh","Dgkh","chr14",4161,"diacylglycerol kinase, eta","protein-coding",1.50831547614313,1.8397977316784,1.46810329055481,0.177874934245131,0.267494937818755,-5.42827395707385
"Prkcg","Prkcg","chr7",2714,"protein kinase C, gamma","protein-coding",-2.6557038084651,0.843526089334576,-1.61709139504265,0.143070246491808,0.225381894770562,-5.4287765667003
"Fam118a","Fam118a","chr15",3739,"family with sequence similarity 118, member A","protein-coding",0.497935658703923,5.07592407850514,2.03946373003821,0.073388199702206,0.132304246423137,-5.4292839829793
"Zc4h2","Zc4h2","chrX",2144,"zinc finger, C4H2 domain containing","protein-coding",-2.82359203303134,1.76789207624909,-1.75684975401979,0.115562806667965,0.190273344977783,-5.42944242265384
"Erp27","Erp27","chr6",953,"endoplasmic reticulum protein 27","protein-coding",-0.673708118445513,0.129943772280199,-1.39918985521601,0.196885508815904,0.289137500238931,-5.43070185372174
"Gpank1","Gpank1","chr17",1607,"G patch domain and ankyrin repeats 1","protein-coding",-0.451794923606557,4.55666545653193,-2.04319954553215,0.072953452456499,0.13169646632182,-5.43109954426564
"Oscp1","Oscp1","chr4",2152,"organic solute carrier partner 1","protein-coding",-0.659296056377896,1.77759332308058,-1.62406173355272,0.140494130164713,0.222022105418079,-5.43206498318825
"Dnajc15","Dnajc15","chr14",648,"DnaJ heat shock protein family (Hsp40) member C15","protein-coding",-1.10941746680868,4.5223267226704,-2.07394503059258,0.0701226078976012,0.127762805738238,-5.43233618983656
"Zfp146","Zfp146","chr7",2031,"zinc finger protein 146","protein-coding",-0.346094668704588,6.2764811512751,-2.17110404136186,0.0594856374832061,0.112190244254628,-5.43480634451554
"Rab43","Rab43","chr6",4741,"RAB43, member RAS oncogene family","protein-coding",-0.715354437126156,6.09819014326956,-2.17085299045074,0.0595095356700088,0.112190244254628,-5.4351330297587
"Zfp937","Zfp937","chr2",6920,"zinc finger protein 937","protein-coding",-0.87924268189754,0.800849060088042,-1.49831243896663,0.169942696796842,0.258092238952051,-5.43790066971336
"Ubl7","Ubl7","chr9",1364,"ubiquitin-like 7 (bone marrow stromal cell-derived)","protein-coding",-0.354299446508794,5.51422955623515,-2.13036067094875,0.0634893366139017,0.118128432689771,-5.43841152171135
"AI450353","AI450353","chr11",1500,"expressed sequence AI450353","ncRNA",0.632381293203552,1.34091950614847,1.46288675844736,0.179175189409101,0.268822429649408,-5.43889530133341
"Particl","Particl","chr6",1933,"promoter of Mat2a antisense radiation induced circulating long non-coding RNA","ncRNA",0.494921638911344,1.91399478583393,1.5526727269545,0.15659435646312,0.241867979636492,-5.43898403817635
"Zfp36l2","Zfp36l2","chr17",3537,"zinc finger protein 36, C3H type-like 2","protein-coding",0.530361970566407,7.51518341489544,2.1790796362263,0.058731285937817,0.111009096492578,-5.43947858109015
"2610524H06Rik","2610524H06Rik","chr5",945,"RIKEN cDNA 2610524H06 gene","protein-coding",-2.75006176693342,1.94923116980632,-1.77535600009878,0.112312560300449,0.186237199880104,-5.44021597062526
"Cyb5r1","Cyb5r1","chr1",1626,"cytochrome b5 reductase 1","protein-coding",0.706671766610176,5.16885393437372,2.02770876961578,0.0747725096784229,0.134280661888957,-5.44058854398545
"Angel1","Angel1","chr12",3850,"angel homolog 1","protein-coding",1.82481637588211,1.93829877872299,1.4460236180176,0.184179306893194,0.274654065126599,-5.44073807916372
"Plbd2","Plbd2","chr5",3595,"phospholipase B domain containing 2","protein-coding",0.406602987366137,5.51290119564895,2.09056840445559,0.0676522748081878,0.124283479304553,-5.44149635701374
"Fn3krp","Fn3krp","chr11",2028,"fructosamine 3 kinase related protein","protein-coding",1.02807596345124,3.13388528126562,1.68081628069385,0.128782442348256,0.207615047453293,-5.44303578229778
"Ttyh2","Ttyh2","chr11",3456,"tweety family member 2","protein-coding",-1.79785706021787,2.34000919527763,-1.78023280682453,0.111470377024941,0.185158595547203,-5.44327994654429
"A930006K02Rik","A930006K02Rik","chr16",873,"RIKEN cDNA A930006K02 gene","ncRNA",-0.987888054192396,0.102153896770265,-1.40683810242262,0.194681604776327,0.286523345834409,-5.4435541603402
"Zfp281","Zfp281","chr1",5275,"zinc finger protein 281","protein-coding",0.540826144831024,5.51115837416264,2.07946799668391,0.0688600558851331,0.125954655793139,-5.44381296583548
"Ccnyl1","Ccnyl1","chr1",2927,"cyclin Y-like 1","protein-coding",-0.723810492597972,2.8257289735325,-1.77700308077838,0.110962515179004,0.184442590655566,-5.44385928398082
"Hipk4","Hipk4","chr7",2415,"homeodomain interacting protein kinase 4","protein-coding",-1.01928091977909,-0.251075347992889,-1.36174742032887,0.207988276251489,0.30186877234826,-5.44454778929958
"Wnk3","Wnk3","chrX",10213,"WNK lysine deficient protein kinase 3","protein-coding",-1.48973185426365,-2.61007280298281,-1.15461068147843,0.279421956167015,0.38116064057044,-5.4448083812605
"Tmem186","Tmem186","chr16",2878,"transmembrane protein 186","protein-coding",0.511137903806277,5.37069477517868,2.0655512209748,0.070403796361648,0.128188759844579,-5.44524979737662
"Eva1b","Eva1b","chr4",1363,"eva-1 homolog B (C. elegans)","protein-coding",-1.45155804024044,1.68101980361487,-1.65064973742858,0.135252044535865,0.21575541460234,-5.44531860613409
"Tsga10","Tsga10","chr1",3400,"testis specific 10","protein-coding",-0.606888299355137,1.14503462998457,-1.52137808273505,0.164159984915252,0.250888115297743,-5.44539067091638
"Slco5a1","Slco5a1","chr1",8512,"solute carrier organic anion transporter family, member 5A1","protein-coding",6.47067779468172,2.61580492253516,1.21530893064655,0.257610233042599,0.357429241761825,-5.44592044933875
"4930579K19Rik","4930579K19Rik","chr9",1152,"RIKEN cDNA 4930579K19 gene","ncRNA",-0.965809792830584,-2.14852175021423,-1.17164819029597,0.272873829811524,0.373850142150331,-5.44672648441937
"4931440P22Rik","4931440P22Rik","chr3",1861,"RIKEN cDNA 4931440P22 gene","ncRNA",-0.611625384379268,1.00228735478893,-1.50105661842542,0.16924537715607,0.25717226680943,-5.44688951697031
"Gmds","Gmds","chr13",1510,"GDP-mannose 4, 6-dehydratase","protein-coding",-2.58092849821469,4.07693703082394,-2.05231778276706,0.0728952525150706,0.13164374372329,-5.44782230435377
"Mtrfr","Mtrfr","chr5",2872,"mitochondrial translation release factor in rescue","protein-coding",0.662216660099287,3.54083980342657,1.77068590883154,0.112058821251031,0.185863856721346,-5.44980859874475
"F8","F8","chrX",7509,"coagulation factor VIII","protein-coding",-0.661877362899789,1.52351995707881,-1.57204328575319,0.152069222598306,0.236445257446148,-5.44999033117956
"Ythdc1","Ythdc1","chr5",3034,"YTH domain containing 1","protein-coding",0.36966722129154,7.20544988389868,2.17035628840253,0.0595568456847354,0.112248133607932,-5.45013828882885
"Zfp787","Zfp787","chr7",1899,"zinc finger protein 787","protein-coding",0.395373360710843,4.66711426310493,1.97621279939365,0.0811384017093772,0.143605294771373,-5.450484472034
"P4ha1","P4ha1","chr10",4043,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha 1 polypeptide","protein-coding",0.780311453380334,6.19350705568465,2.12052853879518,0.0645082933371957,0.119645628835696,-5.45147193849767
"Sptb","Sptb","chr12",10394,"spectrin beta, erythrocytic","protein-coding",1.32172259161908,-0.596772231219563,1.20346371445026,0.260978736946906,0.361245097487259,-5.45178284229761
"Slc2a7","Slc2a7","chr4",1578,"solute carrier family 2 (facilitated glucose transporter), member 7","protein-coding",1.6965235812149,-3.71007076278868,0.976069158232422,0.359192483111702,0.464172948882091,-5.4523370853682
"Man1b1","Man1b1","chr2",3742,"mannosidase, alpha, class 1B, member 1","protein-coding",0.608251865612829,6.60546390406881,2.14956304151275,0.0615706749194236,0.115256416390077,-5.45239122534257
"Mapk9","Mapk9","chr11",4754,"mitogen-activated protein kinase 9","protein-coding",-0.385776002700999,5.69905774208639,-2.13349734479468,0.0631719934932625,0.11761890994525,-5.45464383005794
"Rasd1","Rasd1","chr11",1609,"RAS, dexamethasone-induced 1","protein-coding",-2.44363583601011,0.111031561099378,-1.49106485479696,0.172853715732457,0.26148524171163,-5.45506600465517
"Fbxl13","Fbxl13","chr5",2630,"F-box and leucine-rich repeat protein 13","protein-coding",0.852471221397493,-1.62880553715523,1.12543180291761,0.290928912726049,0.393134797747098,-5.45556587247925
"Ppp1r15b","Ppp1r15b","chr1",5588,"protein phosphatase 1, regulatory subunit 15B","protein-coding",0.490049356974875,8.26148157478436,2.17265459211752,0.059338244345941,0.111976608765034,-5.45574607547394
"Zfp109","Zfp109","chr7",2747,"zinc finger protein 109","protein-coding",-2.25739873375386,-2.03809646987847,-1.22641677618577,0.253341582111544,0.35284626408428,-5.45780948882214
"Trib1","Trib1","chr15",4026,"tribbles pseudokinase 1","protein-coding",0.938777984041283,5.5873548780511,2.04786996166692,0.0726807328224951,0.131308950894302,-5.45806423850386
"Rbis","Rbis","chr3",401,"ribosomal biogenesis factor","protein-coding",-0.402410844656636,2.62587694477855,-1.7110971454353,0.122906203287148,0.199713348713559,-5.45812558581396
"Erfe","Erfe","chr1",2815,"erythroferrone","protein-coding",0.780437696631861,0.118365273037622,1.29367408988011,0.229547485266668,0.326500268071809,-5.45931443013331
"4732471J01Rik","4732471J01Rik","chr7",1887,"RIKEN cDNA 4732471J01 gene","ncRNA",0.942012136084062,-1.40311261702598,1.13671393270468,0.286435671603982,0.388649946388102,-5.46024071133826
"Gm19451","Gm19451","chr3",681,"predicted gene, 19451","ncRNA",-1.09264532022551,-1.95904938326734,-1.18180622066164,0.269029098462105,0.369331144309688,-5.46056111503691
"Myl4","Myl4","chr11",883,"myosin, light polypeptide 4","protein-coding",2.49178673236018,5.94757745957834,1.94709845360121,0.0859914761199531,0.150276689752861,-5.46099449860932
"Pacc1","Pacc1","chr1",4204,"proton activated chloride channel 1","protein-coding",-0.655733347031701,5.4573211411878,-2.12213365038086,0.0643290710099081,0.119362339663094,-5.46131382005906
"Cwf19l2","Cwf19l2","chr9",3953,"CWF19-like 2, cell cycle control (S. pombe)","protein-coding",0.34865043354312,5.15919792903061,2.04097203099306,0.0732123746210366,0.132040085000805,-5.46168187084636
"Gli1","Gli1","chr10",3662,"GLI-Kruppel family member GLI1","protein-coding",1.36217929992946,-2.12896217896119,1.04653356637213,0.32392624537221,0.42823939159324,-5.46180711738676
"Pmm2","Pmm2","chr16",1802,"phosphomannomutase 2","protein-coding",-0.282893540151052,5.88417051264977,-2.1359449689794,0.0629254364432388,0.117256729072358,-5.4621796872154
"Star","Star","chr8",4007,"steroidogenic acute regulatory protein","protein-coding",0.53413723526407,2.78894018902546,1.65907814214716,0.133158630920429,0.212868036022124,-5.46232167482148
"Gnpda1","Gnpda1","chr18",2300,"glucosamine-6-phosphate deaminase 1","protein-coding",-0.600051180615575,4.35719157181296,-2.00392378763892,0.0776507978762287,0.138547959631102,-5.4624438606792
"Ehmt2","Ehmt2","chr17",4061,"euchromatic histone lysine N-methyltransferase 2","protein-coding",0.33779941807842,8.29590928078445,2.16767379315735,0.0598129848859611,0.112652370614721,-5.4641580350189
"Rbm33","Rbm33","chr5",9501,"RNA binding motif protein 33","protein-coding",0.497019788540196,7.86677736847071,2.16543016472336,0.0600280452747117,0.112946323307521,-5.4642061752613
"Morn1","Morn1","chr4",1661,"MORN repeat containing 1","protein-coding",0.652161452548563,0.0711053896177278,1.29096716392623,0.230442415751735,0.32763532107037,-5.46502177214854
"Gm6377","Gm6377","chrX",2801,"predicted gene 6377","protein-coding",1.33561590487929,-1.00192293267333,1.14925955348302,0.281504471257065,0.383510338765904,-5.46517343520723
"Nubpl","Nubpl","chr12",1193,"nucleotide binding protein-like","protein-coding",1.01395652124861,3.51933001512746,1.71826747732514,0.121551381189328,0.198035453073973,-5.46666142556547
"Snapc3","Snapc3","chr4",1385,"small nuclear RNA activating complex, polypeptide 3","protein-coding",-0.375825252978645,3.98268026368864,-1.92567541872164,0.0878880682460364,0.152903701238678,-5.46680320876024
"Utp23","Utp23","chr15",2917,"UTP23 small subunit processome component","protein-coding",0.643120190833152,4.66961111801366,1.94049315427798,0.0858554832517406,0.150097231580913,-5.4669310849417
"Ckb","Ckb","chr12",1478,"creatine kinase, brain","protein-coding",2.85789846757904,0.875493521595082,1.25426536804006,0.243839112585313,0.342611310533723,-5.4669893912218
"Acad11","Acad11","chr9",3348,"acyl-Coenzyme A dehydrogenase family, member 11","protein-coding",0.643654037759327,3.71451291191923,1.78576185701419,0.109459007195982,0.18242268412386,-5.46706682279824
"Aga","Aga","chr8",1290,"aspartylglucosaminidase","protein-coding",-0.600697515855209,3.4377193240881,-1.850458392361,0.0989294041242857,0.168212333144425,-5.46790378434477
"Ankrd23","Ankrd23","chr1",1954,"ankyrin repeat domain 23","protein-coding",0.636660041515848,3.2403766206971,1.71369419212196,0.122413895363232,0.199104809239296,-5.46858180360914
"Puf60","Puf60","chr15",1960,"poly-U binding splicing factor 60","protein-coding",0.458456157109315,7.94072726440667,2.16308240466388,0.0602538960374661,0.113261911347502,-5.46861545540595
"Adprm","Adprm","chr11",1492,"ADP-ribose/CDP-alcohol diphosphatase, manganese dependent","protein-coding",-0.417728448514241,3.95248315997567,-1.92186430153803,0.088418204076639,0.153581680440378,-5.46865253371815
"Dnajc14","Dnajc14","chr10",4229,"DnaJ heat shock protein family (Hsp40) member C14","protein-coding",-0.391308235532651,5.39612398533899,-2.10318942933347,0.0663039930022421,0.122371865872688,-5.46902788271965
"Chmp4b","Chmp4b","chr2",1606,"charged multivesicular body protein 4B","protein-coding",-0.283176284138986,6.93704582241064,-2.15840280266321,0.060706545087772,0.113891105332561,-5.47049003510977
"Rasgef1a","Rasgef1a","chr6",3236,"RasGEF domain family, member 1A","protein-coding",2.97233014461776,-1.20006921270615,1.04015670945704,0.327550606219666,0.431910644304282,-5.47091048053052
"Flywch1","Flywch1","chr17",2509,"FLYWCH-type zinc finger 1","protein-coding",-0.468441027293845,4.91453920916258,-2.06017990258874,0.0710085277680346,0.128942560294332,-5.47117266369262
"Cul4b","Cul4b","chrX",5061,"cullin 4B","protein-coding",0.29718666017466,6.79220296060674,2.15022656239191,0.0615053979647772,0.115182061756475,-5.47194227056329
"Cnnm3","Cnnm3","chr1",5283,"cyclin M3","protein-coding",0.41654268049102,5.20479107971146,2.03447814642838,0.0739722786784323,0.133108754326734,-5.47273283393885
"Rbl1","Rbl1","chr2",5416,"RB transcriptional corepressor like 1","protein-coding",0.43288102873642,6.73508809481441,2.14550225112503,0.0619716489908119,0.115822373561249,-5.47291582921196
"Hnrnph1","Hnrnph1","chr11",2226,"heterogeneous nuclear ribonucleoprotein H1","protein-coding",0.311041527626702,9.62080126236272,2.16619835762289,0.0599543261069702,0.112863805490954,-5.47296008552101
"Tnk1","Tnk1","chr11",3220,"tyrosine kinase, non-receptor, 1","protein-coding",-1.39551421611537,-2.91519664089138,-1.09171766440593,0.304689826172618,0.407811437307461,-5.47339733234593
"Kat14","Kat14","chr2",3751,"lysine acetyltransferase 14","protein-coding",0.417087525879126,6.32927823175335,2.12916936107903,0.0636102699393128,0.11828833170808,-5.47364508206697
"Dmxl2","Dmxl2","chr9",10614,"Dmx-like 2","protein-coding",-1.27219793746741,-0.436694102922596,-1.33185201546661,0.217234348567995,0.312271489154568,-5.47373854666506
"Srek1ip1","Srek1ip1","chr13",1688,"splicing regulatory glutamine/lysine-rich protein 1interacting protein 1","protein-coding",-0.772642694606561,4.45002252875302,-2.02023798385703,0.0756653320394554,0.135649821599771,-5.47385990755054
"Nipa1","Nipa1","chr7",1885,"non imprinted in Prader-Willi/Angelman syndrome 1 homolog (human)","protein-coding",-1.41382764401081,-0.0342419487182896,-1.39101570041322,0.199264777925806,0.292028946708739,-5.47463792011438
"Marveld2","Marveld2","chr13",3382,"MARVEL (membrane-associating) domain containing 2","protein-coding",-2.3175672764269,-0.921406986435216,-1.3364406805973,0.216802335447502,0.311783065048466,-5.47497300135541
"Zfp551","Zfp551","chr7",2336,"zinc fingr protein 551","protein-coding",-2.17077234957142,-0.548879043563316,-1.37071267362691,0.206212840319691,0.29971018101285,-5.47528151300375
"Rbm25","Rbm25","chr12",4244,"RNA binding motif protein 25","protein-coding",0.352730531362621,8.57280451925477,2.16124066799733,0.060431648986417,0.113485600825742,-5.47547571089984
"Spire2","Spire2","chr8",2333,"spire type actin nucleation factor 2","protein-coding",-1.53013645128664,-1.6663369500288,-1.21515742059177,0.256714489873202,0.356545000150859,-5.47561961038055
"Spns3","Spns3","chr11",1819,"spinster homolog 3","protein-coding",2.61652540878399,2.03988475643993,1.38033805213935,0.203436319804922,0.296759357005324,-5.47676044365295
"Purb","Purb","chr11",8478,"purine rich element binding protein B","protein-coding",0.618975990462009,8.04047371592482,2.15751907782204,0.0607923981076603,0.114020531948075,-5.47726665786386
"Slc26a10","Slc26a10","chr10",2215,"solute carrier family 26, member 10","protein-coding",-1.60644549889733,-0.924945285203349,-1.29679475030106,0.228600890828134,0.3253592257776,-5.47760522359918
"Asxl1","Asxl1","chr2",6674,"ASXL transcriptional regulator 1","protein-coding",0.321131087615812,7.33319684172434,2.15370114593827,0.0611646707624566,0.114591591156876,-5.47838041117403
"Sp3os","Sp3os","chr2",1147,"trans-acting transcription factor 3, opposite strand","ncRNA",-0.542010151011406,2.43661684172446,-1.67821165595871,0.129299753010208,0.208126445070528,-5.4791691651942
"Fip1l1","Fip1l1","chr5",3082,"FIP1 like 1 (S. cerevisiae)","protein-coding",0.457076909034896,7.26407698008965,2.1513569667671,0.0613943446454309,0.114990017170089,-5.47972249331768
"1700067K01Rik","1700067K01Rik","chr8",1084,"RIKEN cDNA 1700067K01 gene","protein-coding",0.985453690642854,-0.173961578713595,1.23713664341751,0.248854344673607,0.348102585798867,-5.47997695179373
"Dnajc4","Dnajc4","chr19",840,"DnaJ heat shock protein family (Hsp40) member C4","protein-coding",-0.645532583630131,2.45592924637631,-1.68991334289076,0.126990513001765,0.205191052377732,-5.48005291312411
"6430550D23Rik","6430550D23Rik","chr2",1971,"RIKEN cDNA 6430550D23 gene","protein-coding",-0.956163408895979,-1.77016487111833,-1.17666287181644,0.270970292088172,0.37154338498369,-5.48028254106221
"Klhdc1","Klhdc1","chr12",1949,"kelch domain containing 1","protein-coding",-0.687288383594376,2.40485816839244,-1.68054361973318,0.128836507118896,0.207644036511368,-5.48051008431009
"Gm12359","Gm12359","chr11",1401,"predicted gene 12359","ncRNA",-0.501888271686314,0.695084134544367,-1.42267204724611,0.190186809438269,0.281686477206138,-5.4805759875758
"Itgb7","Itgb7","chr15",2674,"integrin beta 7","protein-coding",-1.33850314646347,0.533907654508421,-1.45744330390971,0.180632274569559,0.270487984298109,-5.4808484277945
"Prox2","Prox2","chr12",2682,"prospero homeobox 2","protein-coding",-0.571327219942075,1.48058385842234,-1.53755689034638,0.160208915661153,0.246101425659446,-5.48170164356652
"Taf1b","Taf1b","chr12",2019,"TATA-box binding protein associated factor, RNA polymerase I, B","protein-coding",-0.83992407332448,5.11625008111136,-2.08924102370287,0.0679819176138725,0.12478733478919,-5.4827121230201
"Phkg1","Phkg1","chr5",2360,"phosphorylase kinase gamma 1","protein-coding",0.783205673117178,-1.24862742807584,1.13812992663427,0.285875666112423,0.388123795713031,-5.48303916098359
"Spib","Spib","chr7",2786,"Spi-B transcription factor (Spi-1/PU.1 related)","protein-coding",-0.855287134692603,7.89185032133834,-2.1570613980604,0.0611557214328806,0.114590702535197,-5.48339128860008
"Tmc7","Tmc7","chr7",4493,"transmembrane channel-like gene family 7","protein-coding",-2.35199021540804,3.27268543544011,-1.92701437924584,0.0887358425297647,0.153974683479907,-5.48358401596927
"Slc12a2","Slc12a2","chr18",6520,"solute carrier family 12, member 2","protein-coding",1.23302403059007,5.77870818932713,2.0302978752545,0.0754516511199479,0.135338521463626,-5.48360744545641
"Adra2c","Adra2c","chr5",3198,"adrenergic receptor, alpha 2c","protein-coding",1.89763983028416,-3.58637938111343,0.943357640007184,0.374943448752645,0.480291615906938,-5.48437584774759
"Gm16062","Gm16062","chr11",642,"predicted gene 16062","ncRNA",0.821463351681715,0.581831965650314,1.32044506370393,0.220853326457636,0.315962102109163,-5.48459965226794
"Idnk","Idnk","chr13",1511,"idnK gluconokinase homolog (E. coli)","protein-coding",-0.467478634367973,3.91107507799152,-1.90873446481241,0.0902679596617828,0.155976112790666,-5.4853014985447
"Lpcat3","Lpcat3","chr6",2502,"lysophosphatidylcholine acyltransferase 3","protein-coding",-0.61402001848581,5.65078654109232,-2.11665747719062,0.0648940056049735,0.120196143806143,-5.48626668727485
"Bola2","Bola2","chr7",337,"bolA-like 2 (E. coli)","protein-coding",0.476577730478666,5.56275062410922,2.06129310894742,0.0708827860686548,0.128731517855511,-5.48684397334385
"Rapgef5","Rapgef5","chr12",3987,"Rap guanine nucleotide exchange factor (GEF) 5","protein-coding",-3.67817168309005,1.94758570619247,-1.78004083612345,0.111503416769098,0.185190725725952,-5.48700426413682
"4933433G15Rik","4933433G15Rik","chr9",1153,"RIKEN cDNA 4933433G15 gene","ncRNA",0.880803658179208,-1.52408750312014,1.10150199411589,0.300644430188669,0.403315144417204,-5.48722672078765
"Gm10863","Gm10863","chr15",680,"predicted gene 10863","ncRNA",-1.70508971725315,-2.61293819601782,-1.12384764003963,0.291640266279138,0.393775518310388,-5.48790063618608
"Nudt8","Nudt8","chr19",786,"nudix (nucleoside diphosphate linked moiety X)-type motif 8","protein-coding",-0.738200270593408,2.63341434206845,-1.71685322745743,0.121817505754032,0.19834952978086,-5.48826831166106
"Gna13","Gna13","chr11",6197,"guanine nucleotide binding protein, alpha 13","protein-coding",0.45902250357806,7.16082480545959,2.14324625862582,0.0621955113751634,0.116152694655191,-5.49028806219795
"Rapgef3","Rapgef3","chr15",3834,"Rap guanine nucleotide exchange factor (GEF) 3","protein-coding",1.55284398686883,3.30663571459671,1.62748919447556,0.140352245674139,0.221875682656381,-5.49060096088076
"Tceanc","Tceanc","chrX",4050,"transcription elongation factor A (SII) N-terminal and central domain containing","protein-coding",0.540544066328447,3.57465704508292,1.75665902443731,0.114529222270292,0.188962735121003,-5.49092188892745
